model,metrics,values
Tuned single Tree_rSub,test_recall,0.6617647058823529
Tuned single Tree_rSub,test_recall,0.6397058823529411
Tuned single Tree_rSub,test_recall,0.6617647058823529
Tuned single Tree_rSub,test_recall,0.6518518518518519
Tuned single Tree_rSub,test_recall,0.6370370370370371
Tuned single Tree_rSub,test_recall,0.6222222222222222
Tuned single Tree_rSub,test_recall,0.6888888888888889
Bagged tuned single Tree_rSub,test_recall,0.6985294117647058
Bagged tuned single Tree_rSub,test_recall,0.6323529411764706
Bagged tuned single Tree_rSub,test_recall,0.6617647058823529
Bagged tuned single Tree_rSub,test_recall,0.6397058823529411
Bagged tuned single Tree_rSub,test_recall,0.6102941176470589
Bagged tuned single Tree_rSub,test_recall,0.6470588235294118
Bagged tuned single Tree_rSub,test_recall,0.6444444444444445
Bagged tuned single Tree_rSub,test_recall,0.5703703703703704
Bagged tuned single Tree_rSub,test_recall,0.7185185185185186
Bagged tuned single Tree_rSub,test_recall,0.6888888888888889
Tuned random forest_rSub,test_recall,0.7279411764705882
Tuned random forest_rSub,test_recall,0.6911764705882353
Tuned random forest_rSub,test_recall,0.7058823529411765
Tuned random forest_rSub,test_recall,0.7132352941176471
Tuned random forest_rSub,test_recall,0.6470588235294118
Tuned random forest_rSub,test_recall,0.6838235294117647
Tuned random forest_rSub,test_recall,0.6666666666666666
Tuned random forest_rSub,test_recall,0.6444444444444445
Tuned random forest_rSub,test_recall,0.762962962962963
Tuned random forest_rSub,test_recall,0.7037037037037037
Tuned XGB_rSub,test_recall,0.7205882352941176
Tuned XGB_rSub,test_recall,0.6544117647058824
Tuned XGB_rSub,test_recall,0.6985294117647058
Tuned XGB_rSub,test_recall,0.6544117647058824
Tuned XGB_rSub,test_recall,0.6617647058823529
Tuned XGB_rSub,test_recall,0.7132352941176471
Tuned XGB_rSub,test_recall,0.6666666666666666
Tuned XGB_rSub,test_recall,0.6666666666666666
Tuned XGB_rSub,test_recall,0.7555555555555555
Tuned XGB_rSub,test_recall,0.6888888888888889
Vanilla Logistic Regression_rSub,test_f1,0.6298701298701298
Vanilla Logistic Regression_rSub,test_f1,0.5664335664335665
Vanilla Logistic Regression_rSub,test_f1,0.5675675675675677
Vanilla Logistic Regression_rSub,test_f1,0.6020761245674741
Vanilla Logistic Regression_rSub,test_f1,0.6180555555555556
Vanilla Logistic Regression_rSub,test_f1,0.5704918032786885
